,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,features,probability,prediction
31,blaz02,Ordinary - Registered,0.16666666666666666,0.8333333333333334,0.0,6.0,Catch-upper,2,"[0.16666666666666666,0.8333333333333334,0.0]","[0.30659127979346007,7.41787614626873e-16,0.6934087202065392]",2
32,Bojan1825,Ordinary - Registered,0.6666666666666666,0.3333333333333333,0.0,12.0,Follower,0,"[0.6666666666666666,0.3333333333333333,0.0]","[0.7778672262010862,5.444938315668724e-16,0.2221327737989133]",0
33,BORIS MREVLJE,Ordinary - Registered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]","[1.2760105472852841e-22,1.0,2.2188005880867885e-23]",1
34,Boštjan M.,Ordinary - Registered,0.7142857142857143,0.14285714285714285,0.14285714285714285,7.0,Follower,0,"[0.7142857142857143,0.14285714285714285,0.14285714285714285]","[0.8219738864322619,5.745325197014513e-16,0.1780261135677376]",0
35,BostjanH,Ordinary - Registered,0.0,0.0,1.0,13.0,Independant,1,"[0.0,0.0,1.0]","[1.2760105472852841e-22,1.0,2.2188005880867885e-23]",1
36,BoštjanK,Ordinary - Registered,0.9230769230769231,0.07692307692307693,0.0,13.0,Follower,0,"[0.9230769230769231,0.07692307692307693,0.0]","[0.9031876289239216,1.4664794706208138e-15,0.09681237107607697]",0
37,Branklo,Ordinary - Registered,0.75,0.25,0.0,4.0,Follower,0,"[0.75,0.25,0.0]","[0.8288912038783428,6.83327408995846e-16,0.17110879612165658]",0
38,BrunoB,Ordinary - Registered,0.6666666666666666,0.2222222222222222,0.1111111111111111,9.0,Follower,0,"[0.6666666666666666,0.2222222222222222,0.1111111111111111]","[0.7961351635862985,4.849897414489888e-16,0.20386483641370104]",0
39,Buda,Ordinary - Registered,0.3333333333333333,0.6666666666666666,0.0,6.0,Catch-upper,2,"[0.3333333333333333,0.6666666666666666,0.0]","[0.4742707852810338,4.970642089412206e-16,0.5257292147189657]",2
40,Buki,Ordinary - Registered,1.0,0.0,0.0,10.0,Follower,0,"[1.0,0.0,0.0]","[0.9252810332549992,2.3508275659190983e-15,0.0747189667449984]",0
41,chibu79,Ordinary - Registered,0.9166666666666666,0.08333333333333333,0.0,12.0,Follower,0,"[0.9166666666666666,0.08333333333333333,0.0]","[0.9010842969757056,1.4152284278262672e-15,0.09891570302429303]",0
42,Cromiza,Ordinary - Registered,0.2727272727272727,0.2727272727272727,0.45454545454545453,11.0,Mixed - No predominent behavior,3,"[0.2727272727272727,0.2727272727272727,0.45454545454545453]","[0.7044489166425132,5.285965700182296e-16,0.29555108335748626]",0
43,cvjetko,Ordinary - Registered,0.6666666666666666,0.25,0.08333333333333333,12.0,Follower,0,"[0.6666666666666666,0.25,0.08333333333333333]","[0.792408289216457,4.892956826755974e-16,0.20759171078354247]",0
44,Dalka,Ordinary - Registered,0.5,0.0,0.5,8.0,Follower,0,"[0.5,0.0,0.5]","[0.769823439123357,8.629353674372629e-16,0.230176560876642]",0
